Nb Instance,Glouton,Heur,DP,BB - Heur - BestBound
100,1.5591e-05,0.0012047,0.000164308,6.5478e-05
200,7.664e-06,0.000624487,0.000926556,4.3453e-05
300,9.172e-06,0.000909364,0.00278144,8.8001e-05
400,1.1461e-05,0.000918861,0.00623792,0.00034524
500,1.3017e-05,0.00102488,0.0123318,0.00206447
600,1.5048e-05,0.00115049,0.0185749,6.1674e-05
700,1.7244e-05,0.00131023,0.0287506,0.000938386
800,1.9077e-05,0.00130037,0.0420245,0.00191303
900,2.0227e-05,0.0014203,0.0598814,8.5956e-05
1000,2.6228e-05,0.00185897,0.0835355,0.000333589
1100,2.501e-05,0.00174997,0.0975048,0.00138521
1200,3.0805e-05,0.00198045,0.11655,0.00551796
1300,3.4535e-05,0.00206899,0.135763,0.000739273
1400,2.9597e-05,0.00249015,0.162251,9.8381e-05
1500,3.1033e-05,0.00254656,0.210327,0.0146331
1600,3.8085e-05,0.0024601,0.234579,0.0123262
1700,3.8483e-05,0.00248068,0.283074,0.00376024
1800,3.9451e-05,0.00279482,0.322776,0.00108936
1900,4.1427e-05,0.00292893,0.373408,0.000801229
2000,6.6592e-05,0.00295088,0.434939,0.000999623
2100,4.3387e-05,0.00292667,0.509388,0.013218
2200,4.7857e-05,0.00297358,0.577964,0.000350742
2300,5.2363e-05,0.00328008,0.666585,0.0163903
2400,4.9149e-05,0.00328355,0.752692,0.00449441
2500,5.9119e-05,0.00355606,0.82029,0.0030918
2600,5.4726e-05,0.00356907,0.910722,0.0227177
2700,5.5235e-05,0.00380003,1.04371,0.00016736
2800,5.849e-05,0.0041166,1.14084,0.00475035
2900,6.6634e-05,0.00412395,1.24286,0.00861686
3000,6.629e-05,0.004879,1.42167,0.000175983
3100,6.2528e-05,0.0042261,1.53363,0.00439868
3200,6.5546e-05,0.00398638,1.68741,0.0206871
3300,6.549e-05,0.00454264,1.83106,0.0299905
3400,7.966e-05,0.00476623,2.05671,0.00109305
3500,7.9161e-05,0.00474504,2.26666,0.0272317
3600,8.1468e-05,0.00497048,2.42958,0.00543338
3700,7.6831e-05,0.0050788,2.59756,0.0466581
3800,8.0109e-05,0.00528198,2.80493,0.0140294
3900,8.4274e-05,0.00543964,3.01893,0.000249314
4000,0.000157181,0.00481753,3.22192,0.00023534
4100,7.9824e-05,0.0052174,3.45642,0.0180939
4200,8.7655e-05,0.00556734,3.70825,0.00190737
4300,8.898e-05,0.0056479,3.99224,0.00745297
4400,8.7655e-05,0.00561901,4.25063,0.00292224
4500,0.00010209,0.00615281,5.12174,0.12716
4600,9.1944e-05,0.0211939,6.04457,0.108979
4700,0.000108546,0.01162,5.48979,0.00499655
4800,0.000103053,0.0114689,5.97977,0.052036
4900,9.3672e-05,0.00679935,5.81856,0.0164758
5000,9.4513e-05,0.00687813,6.13254,0.000810259
5100,9.7003e-05,0.00654628,6.91775,0.0002769
5200,0.000106207,0.00654362,6.85741,0.00653419
5300,0.000103686,0.00729993,7.28986,0.0186825
5400,0.000104213,0.00688692,7.73358,0.0194508
5500,0.000113626,0.00767591,8.16478,0.00869019
5600,0.000108752,0.0108318,8.5164,0.0556622
5700,0.000112093,0.00878549,9.01334,0.0460735
5800,0.000111323,0.0076116,9.57789,0.00906476
5900,0.000120075,0.00761922,9.95765,0.00239879
6000,0.00012489,0.00769475,10.4963,0.0395679
6100,0.00012633,0.00803653,11.2089,0.00241257
6200,0.000136975,0.0107581,11.626,0.00179234
6300,0.000128045,0.00818089,13.0976,0.0104494
6400,0.000123798,0.00850135,12.5608,0.000339631
6500,0.000123112,0.00848065,13.2394,0.000449816
6600,0.000124552,0.00805648,14.8281,0.00149274
6700,0.000132648,0.00803662,14.4027,0.0270145
6800,0.000132151,0.00882976,18.4961,0.0526216
6900,0.000151969,0.00995713,19.0694,0.00114086
7000,0.000153483,0.0197162,19.4845,0.00131755
7100,0.000154965,0.0167137,19.1591,0.0203897
7200,0.000160842,0.0103467,21.3215,0.000438026
7300,0.000164968,0.0147267,21.6746,0.00422902
7400,0.000164642,0.0223563,24.7095,0.120855
7500,0.000173448,0.0245132,25.0051,0.0071939
7600,0.000167626,0.0119479,25.1909,0.0211108
7700,0.000309499,0.0152418,26.2886,0.000415105
7800,0.000151093,0.0119235,26.5678,0.00444972
7900,0.000173059,0.0157951,27.6339,0.328153
8000,0.000253848,0.0125828,28.6251,0.156685
