Nb Instance,BestBound, DFS10, DFS01, BFS, Random,Heur - BestBound, Heur - DFS10, Heur - FS01, Heur - BFS, Heur - Random,DP - BestBound
100,8.6424e-05,2.715e-05,1.2129e-05,1.1927e-05,2.9563e-05,1.7669e-05,1.9175e-05,2.187e-05,2.0268e-05,1.955e-05,
200,3.9859e-05,2.729e-05,1.8243e-05,1.9774e-05,2.1809e-05,1.8649e-05,1.6599e-05,1.8871e-05,1.6755e-05,1.693e-05,
300,0.00020549,9.9651e-05,9.3209e-05,0.000249337,0.000166333,7.3165e-05,7.3372e-05,7.3401e-05,7.3532e-05,7.424e-05,
400,0.00025986,0.000228084,0.000255416,0.000321572,0.000326423,0.000383236,0.000394025,0.000371548,0.000389779,0.000401229,
500,0.00153444,0.00245121,0.00107346,0.00317841,0.00281132,0.00226798,0.00424917,0.00190968,0.00450584,0.00447411,
600,8.1938e-05,4.4037e-05,4.3528e-05,4.331e-05,8.4223e-05,3.8597e-05,3.861e-05,6.3219e-05,3.8497e-05,8.051e-05,
700,0.000613873,0.000963455,0.000365021,0.00131107,0.00076855,0.000977397,0.00167341,0.00062049,0.00187821,0.00131292,
800,0.00216778,0.00150598,0.00703293,0.00323951,0.00234873,0.00201159,0.00206003,0.00216536,0.00191393,0.00192112,
900,0.000106342,5.7969e-05,5.7459e-05,0.000139643,9.1885e-05,8.6007e-05,4.9922e-05,0.000129583,8.2768e-05,0.000132092,
1000,0.000848062,0.00024611,0.000248357,0.000334679,0.000292032,0.000351005,0.000309854,0.000294466,0.000327705,0.00030693,
1100,0.00162729,0.00335786,0.0130116,0.00187552,0.00429344,0.00133965,0.00417429,0.00134111,0.00313558,0.00411717,
1200,0.00419103,0.0179088,0.00810827,0.00673911,0.00616054,0.00712951,0.0321319,0.0119344,0.00763128,0.0105102,
1300,0.000408255,0.0039815,0.000337967,0.000450373,0.00477512,0.00068249,0.00761422,0.000396456,0.000766854,0.00168338,
1400,0.000531201,0.000562423,0.0210222,0.00106615,0.000521956,8.1612e-05,8.1304e-05,8.4927e-05,8.1039e-05,8.5735e-05,
